Asteroid_ID,Personnel_ID
1000,101
1001,102
1002,103
1003,104
1004,105
1005,106
1006,107
1007,108
1008,109
1009,110
1010,111
1011,112
1012,113
1013,114
1014,115
1015,116
1016,117
1017,118
1018,119
1019,120
1020,121
1021,122
1022,123
1023,124
1024,125
1025,126
1026,127
1027,128
1028,129
1029,130
1030,131
1031,132
1032,133
1033,134
1034,135
1035,136
1036,137
1037,138
1038,139
1039,140
1040,141
1041,142
1042,143
1043,144
1044,145
1045,146
1046,147
1047,148
1048,149
1049,150
1050,151
1051,152
1052,153
1053,154
1054,155
1055,156
1056,157
1057,158
1058,159
1059,160
1060,161
1061,162
1062,163
1063,164
1064,165
1065,166
1066,167
1067,168
1068,169
1069,170
1070,171
1071,172
1072,173
1073,174
1074,175
1075,176
1076,177
1077,178
1078,179
1079,180
1080,181
1081,182
1082,183
1083,184
1084,185
1085,186
1086,187
1087,188
1088,189
1089,190
1090,191
1091,192
1092,193
1093,194
1094,195
1095,196
1096,197
1097,198
1098,199
1099,200
1100,101
