date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:02	13417/13417	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2007:32:16%20GMT	https://necesario.in/	C:/My%20Web%20Sites/SnapperV6/necesario.in/index.html	(from )
12:04:02	4036/4036	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2007:32:16%20GMT	https://necesario.in/robots.txt		(from )
12:04:11	153111/153111	---M-Z	200	added ('OK')	text/css	etag:W/%2225617-q3SIoVyTmtfFSq15BDC3uaLXfq4%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/SnapperV6/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min.css	(from https://necesario.in/)
12:04:11	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/My%20Web%20Sites/SnapperV6/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://necesario.in/)
12:04:12	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%225eb03d5d-65c5%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	C:/My%20Web%20Sites/SnapperV6/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	(from https://necesario.in/)
12:04:13	98128/98128	---M-Z	200	added ('OK')	text/css	etag:%225eb03e9d-17f50%22	https://cdnjs.cloudflare.com/ajax/libs/hover.css/2.1.0/css/hover-min.css	C:/My%20Web%20Sites/SnapperV6/cdnjs.cloudflare.com/ajax/libs/hover.css/2.1.0/css/hover-min.css	(from https://necesario.in/)
12:04:14	15719/15719	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Jan%202021%2007:32:16%20GMT	https://necesario.in/images/favicon.png	C:/My%20Web%20Sites/SnapperV6/necesario.in/images/favicon.png	(from https://necesario.in/)
12:04:15	5079/5079	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20Jan%202021%2007:32:16%20GMT	https://necesario.in/css/index.css	C:/My%20Web%20Sites/SnapperV6/necesario.in/css/index.css	(from https://necesario.in/)
12:04:15	1553/1553	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2023%20Jan%202021%2007:32:16%20GMT	https://necesario.in/js/index.js	C:/My%20Web%20Sites/SnapperV6/necesario.in/js/index.js	(from https://necesario.in/)
12:04:17	10120/10120	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Jan%202021%2007:32:16%20GMT	https://necesario.in/images/logo.png	C:/My%20Web%20Sites/SnapperV6/necesario.in/images/logo.png	(from https://necesario.in/)
